num_leaves_LGB,min_child_samples_LGB,max_depth_random,max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,reg_lambda_LGB,min_samples_split_random,max_features_random,max_samples_random,subsample_LGB,colsample_bytree_LGB,min_samples_leaf_random,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
10,10,5,5,50,0.2,100,5,80,0.9,0.9,0.5,0.5,9,144,0.1,10,0.168843045,0.831156955
10,10,5,5,100,0.1,200,1,16,0.5,0.5,0.9,0.9,7,112,1,10,0.168885913,0.831114087
14,14,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,9,144,0.01,10,0.168906589,0.831093411
10,10,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,9,144,0.01,10,0.168924945,0.831075055
10,10,5,5,100,0.1,200,1,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.168957241,0.831042759
10,10,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,9,144,0.1,10,0.169065431,0.830934569
14,14,3,3,100,0.1,200,5,80,0.5,0.5,0.9,0.9,3,48,1,10,0.169082687,0.830917313
14,14,3,3,100,0.1,200,1,16,0.9,0.9,0.5,0.5,7,112,1,10,0.169095364,0.830904636
14,14,3,3,100,0.1,200,5,80,0.5,0.5,0.9,0.9,7,112,0.01,10,0.169111054,0.830888946
10,10,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,3,48,0.1,10,0.169126682,0.830873318
14,14,3,3,50,0.2,100,5,80,0.5,0.5,0.9,0.9,7,112,1,10,0.169146334,0.830853666
14,14,3,3,100,0.1,200,5,80,0.7,0.7,0.7,0.7,7,112,1,10,0.169166827,0.830833173
10,10,5,5,100,0.1,200,1,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.16924228,0.83075772
14,14,3,3,100,0.1,200,1,16,0.9,0.9,0.5,0.5,7,112,0.01,10,0.169349097,0.830650903
10,10,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,9,144,0.01,10,0.169415485,0.830584515
