max_depth_LGB,num_iterations_LGB,learning_rate_LGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_bin_LGB,reg_alpha_LGB,degree,mse,r2,mse_y,auc_t
5,100,0.2,32,32,5,0.7,0.7,80,0.01,10,0.097285905,0.902714095,1.099321632,0.504037149
7,200,0.1,96,96,15,0.7,0.7,80,1,10,0.097288634,0.902711366,1.076684359,0.504037149
9,200,0.1,96,96,15,0.5,0.5,80,0.1,10,0.097312604,0.902687396,1.084497997,0.504037149
5,100,0.2,128,128,20,0.7,0.7,16,0.01,10,0.097319822,0.902680178,1.073555593,0.504037149
9,200,0.1,96,96,15,0.5,0.5,48,0.01,10,0.097371349,0.902628651,1.083244404,0.504037149
7,200,0.1,64,64,10,0.7,0.7,16,0.1,10,0.097404979,0.902595021,1.088578118,0.504037149
5,200,0.1,96,96,15,0.9,0.9,16,0.1,10,0.097441626,0.902558374,1.073774523,0.504037149
5,200,0.1,32,32,5,0.5,0.5,48,0.1,10,0.097472852,0.902527148,1.10051505,0.504037149
5,100,0.2,128,128,20,0.5,0.5,112,1,10,0.097477347,0.902522653,1.075687863,0.504037149
9,200,0.1,32,32,5,0.5,0.5,112,1,10,0.097492982,0.902507018,1.117998109,0.504037149
5,100,0.2,96,96,15,0.5,0.5,48,0.1,10,0.097496251,0.902503749,1.080364777,0.504037149
9,100,0.2,96,96,15,0.5,0.5,80,1,10,0.097516404,0.902483596,1.083142906,0.504037149
5,100,0.2,128,128,20,0.7,0.7,16,0.1,10,0.097536547,0.902463453,1.072426892,0.504037149
9,100,0.2,64,64,10,0.5,0.5,144,1,10,0.097587551,0.902412449,1.09266859,0.504037149
5,200,0.1,64,64,10,0.5,0.5,112,1,10,0.097607629,0.902392371,1.082410281,0.504037149
9,200,0.1,64,64,10,0.9,0.9,144,0.1,10,0.097613266,0.902386734,1.110785047,0.504037149
5,100,0.2,32,32,5,0.5,0.5,112,1,10,0.097614312,0.902385688,1.091785474,0.504037149
5,100,0.2,64,64,10,0.5,0.5,80,1,10,0.097644637,0.902355363,1.086949004,0.504037149
7,200,0.1,96,96,15,0.7,0.7,112,0.1,10,0.097664098,0.902335902,1.082038027,0.504037149
5,200,0.1,128,128,20,0.9,0.9,16,0.1,10,0.097667081,0.902332919,1.074554998,0.504037149
9,200,0.1,96,96,15,0.5,0.5,144,0.01,10,0.097735483,0.902264517,1.084596457,0.504037149
9,100,0.2,96,96,15,0.9,0.9,48,0.1,10,0.097739186,0.902260814,1.097122512,0.504037149
7,200,0.1,64,64,10,0.7,0.7,144,0.01,10,0.097753408,0.902246592,1.100089467,0.504037149
9,100,0.2,96,96,15,0.7,0.7,144,0.1,10,0.097775276,0.902224724,1.091376827,0.504037149
7,200,0.1,96,96,15,0.7,0.7,48,0.01,10,0.097780532,0.902219468,1.08333271,0.504037149
7,100,0.2,128,128,20,0.5,0.5,48,1,10,0.097839888,0.902160112,1.079216629,0.504037149
9,100,0.2,128,128,20,0.5,0.5,48,1,10,0.097839888,0.902160112,1.078560636,0.504037149
5,200,0.1,64,64,10,0.5,0.5,80,0.01,10,0.097848236,0.902151764,1.088420392,0.504037149
7,100,0.2,64,64,10,0.5,0.5,16,0.01,10,0.097931506,0.902068494,1.087516066,0.504037149
9,100,0.2,96,96,15,0.5,0.5,112,0.1,10,0.097977901,0.902022099,1.084986273,0.504037149
5,200,0.1,64,64,10,0.7,0.7,16,1,10,0.097995653,0.902004347,1.077526554,0.504037149
9,200,0.1,64,64,10,0.5,0.5,48,0.1,10,0.098000769,0.901999231,1.103633779,0.504037149
9,200,0.1,64,64,10,0.5,0.5,80,0.1,10,0.098011514,0.901988486,1.099084664,0.504037149
9,200,0.1,96,96,15,0.9,0.9,112,0.01,10,0.098029077,0.901970923,1.090478224,0.504037149
7,200,0.1,32,32,5,0.7,0.7,112,0.01,10,0.098060679,0.901939321,1.117196936,0.504037149
7,200,0.1,96,96,15,0.7,0.7,48,0.1,10,0.098072506,0.901927494,1.081403888,0.504037149
5,200,0.1,64,64,10,0.7,0.7,144,0.1,10,0.098084468,0.901915532,1.084274939,0.504037149
5,200,0.1,96,96,15,0.7,0.7,16,1,10,0.098130699,0.901869301,1.069362202,0.504037149
9,100,0.2,128,128,20,0.5,0.5,112,0.1,10,0.0981373,0.9018627,1.078826939,0.504037149
7,100,0.2,128,128,20,0.5,0.5,112,0.1,10,0.0981373,0.9018627,1.078750015,0.504037149
9,200,0.1,32,32,5,0.5,0.5,144,0.01,10,0.098159946,0.901840054,1.11351764,0.504037149
7,100,0.2,64,64,10,0.5,0.5,112,0.1,10,0.098160524,0.901839476,1.098623097,0.504037149
5,200,0.1,64,64,10,0.5,0.5,48,0.01,10,0.098190386,0.901809614,1.090909812,0.504037149
