max_depth_XGB,reg_lambda_XGB,reg_lambda_LGB,learning_rate_XGB,n_estimators_XGB,num_leaves_LGB,min_child_samples_LGB,subsample_XGB,colsample_bytree_XGB,subsample_LGB,colsample_bytree_LGB,max_depth_LGB,min_child_weight_XGB,max_bin_LGB,reg_alpha_XGB,reg_alpha_LGB,learning_rate_XGB,num_iterations_LGB,degree,mse,r2
7,7,2.1875,0.05,200,64,64,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.193515865,0.806484135
7,7,2.1875,0.1,100,64,64,0.5,0.5,0.9,0.9,7,112,112,0.1,0.1,0.05,200,10,0.193530673,0.806469327
9,9,2.8125,0.1,100,128,128,0.7,0.7,0.7,0.7,5,80,80,0.1,0.1,0.05,200,10,0.193553054,0.806446946
5,5,1.5625,0.05,200,32,32,0.7,0.7,0.7,0.7,9,144,144,1,1,0.05,200,10,0.193568791,0.806431209
7,7,2.1875,0.1,100,128,128,0.7,0.7,0.7,0.7,9,144,144,0.01,0.01,0.05,200,10,0.193572097,0.806427903
5,5,1.5625,0.05,200,128,128,0.5,0.5,0.9,0.9,5,80,80,1,1,0.1,100,10,0.193584625,0.806415375
9,9,2.8125,0.1,100,128,128,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.1,100,10,0.193660089,0.806339911
7,7,2.1875,0.1,100,32,32,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.05,200,10,0.193672254,0.806327746
5,5,1.5625,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,0.1,0.1,0.05,200,10,0.193677903,0.806322097
5,5,1.5625,0.1,100,128,128,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.05,200,10,0.193680905,0.806319095
9,9,2.8125,0.05,200,64,64,0.9,0.9,0.5,0.5,5,80,80,1,1,0.1,100,10,0.193716432,0.806283568
7,7,2.1875,0.1,100,128,128,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.1,100,10,0.193730907,0.806269093
9,9,2.8125,0.05,200,32,32,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.193743218,0.806256782
7,7,2.1875,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.05,200,10,0.193754019,0.806245981
5,5,1.5625,0.05,200,64,64,0.9,0.9,0.5,0.5,9,144,144,0.01,0.01,0.1,100,10,0.193765471,0.806234529
7,7,2.1875,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.1,100,10,0.193783286,0.806216714
9,9,2.8125,0.1,100,32,32,0.9,0.9,0.5,0.5,5,80,80,1,1,0.1,100,10,0.193787561,0.806212439
5,5,1.5625,0.05,200,128,128,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.1,100,10,0.193799623,0.806200377
5,5,1.5625,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.193808786,0.806191214
7,7,2.1875,0.1,100,64,64,0.5,0.5,0.9,0.9,7,112,112,0.01,0.01,0.1,100,10,0.193810609,0.806189391
7,7,2.1875,0.05,200,96,96,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.193851079,0.806148921
5,5,1.5625,0.1,100,128,128,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.05,200,10,0.193883768,0.806116232
5,5,1.5625,0.1,100,64,64,0.5,0.5,0.9,0.9,9,144,144,1,1,0.1,100,10,0.193888273,0.806111727
5,5,1.5625,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,1,1,0.1,100,10,0.193917268,0.806082732
9,9,2.8125,0.1,100,128,128,0.7,0.7,0.7,0.7,5,80,80,1,1,0.05,200,10,0.193918611,0.806081389
7,7,2.1875,0.05,200,64,64,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.193927731,0.806072269
5,5,1.5625,0.1,100,128,128,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.1,100,10,0.193940872,0.806059128
5,5,1.5625,0.1,100,32,32,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.1,100,10,0.193999704,0.806000296
5,5,1.5625,0.05,200,128,128,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.194059849,0.805940151
7,7,2.1875,0.05,200,128,128,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.05,200,10,0.194150918,0.805849082
5,5,1.5625,0.1,100,96,96,0.9,0.9,0.5,0.5,9,144,144,0.01,0.01,0.05,200,10,0.194188458,0.805811542
5,5,1.5625,0.1,100,128,128,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.05,200,10,0.194197478,0.805802522
5,5,1.5625,0.1,100,64,64,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.05,200,10,0.194209373,0.805790627
5,5,1.5625,0.1,100,128,128,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.1,100,10,0.194235712,0.805764288
9,9,2.8125,0.05,200,32,32,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.1,100,10,0.194342435,0.805657565
5,5,1.5625,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.194365535,0.805634465
9,9,2.8125,0.1,100,64,64,0.7,0.7,0.7,0.7,5,80,80,1,1,0.05,200,10,0.194365864,0.805634136
5,5,1.5625,0.05,200,96,96,0.7,0.7,0.7,0.7,5,80,80,1,1,0.05,200,10,0.194373097,0.805626903
5,5,1.5625,0.05,200,128,128,0.7,0.7,0.7,0.7,5,80,80,0.1,0.1,0.1,100,10,0.194373153,0.805626847
7,7,2.1875,0.05,200,128,128,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.1,100,10,0.194456764,0.805543236
9,9,2.8125,0.1,100,64,64,0.5,0.5,0.9,0.9,9,144,144,0.1,0.1,0.05,200,10,0.194466672,0.805533328
7,7,2.1875,0.1,100,128,128,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.05,200,10,0.194475746,0.805524254
9,9,2.8125,0.1,100,96,96,0.7,0.7,0.7,0.7,7,112,112,1,1,0.05,200,10,0.194496096,0.805503904
9,9,2.8125,0.05,200,64,64,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.194496618,0.805503382
5,5,1.5625,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.05,200,10,0.194548185,0.805451815
