min_samples_split_randomc,n_estimators_randomr,n_estimators_randomc,max_depth_randomr,max_depth_randomc,min_samples_split_randomr,max_features_randomr,max_samples_randomr,max_features_randomc,max_samples_randomc,min_samples_leaf_randomr,min_samples_leaf_randomc,degree,mse,r2
48,50,100,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.23657943281617363,0.7634205671838263
48,50,100,5,5,80,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.23658004147043593,0.763419958529564
16,50,100,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.23673174597006805,0.7632682540299319
16,50,100,5,5,80,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.23674185447387489,0.7632581455261251
48,50,100,5,5,80,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.23674526011758387,0.7632547398824161
16,50,100,5,5,80,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.2367964211702277,0.7632035788297723
16,50,100,5,5,80,0.7,0.7,0.7,0.7,9,9,10,0.23689790008245423,0.7631020999175457
16,100,50,5,5,80,0.7,0.7,0.7,0.7,7,7,10,0.23711045998871516,0.7628895400112848
48,50,100,5,5,80,0.7,0.7,0.7,0.7,9,9,10,0.23743329542854735,0.7625667045714526
48,50,100,5,5,80,0.7,0.7,0.7,0.7,3,3,10,0.2382658324361799,0.7617341675638201
48,50,100,5,5,80,0.7,0.7,0.7,0.7,1,1,10,0.23827625155732368,0.7617237484426763
48,50,100,5,5,80,0.7,0.7,0.7,0.7,7,7,10,0.23852239477675957,0.7614776052232404
48,50,100,5,5,80,0.7,0.7,0.7,0.7,5,5,10,0.23872338238303212,0.7612766176169679
80,100,50,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.23879495183580965,0.7612050481641903
80,100,50,5,5,80,0.7,0.7,0.7,0.7,1,1,10,0.23883583289104593,0.7611641671089541
48,100,50,5,5,80,0.7,0.7,0.7,0.7,7,7,10,0.2388677467651782,0.7611322532348218
80,100,50,5,5,80,0.7,0.7,0.7,0.7,7,7,10,0.23890506803055958,0.7610949319694404
80,100,50,5,5,80,0.7,0.7,0.7,0.7,3,3,10,0.23892917475960973,0.7610708252403903
