n_estimators_random,penalty_逻辑回归,max_features_random,max_samples_random,min_samples_leaf_random,max_depth_random,min_samples_split_random,C_逻辑回归,degree,mse,r2,mse_y,auc_t
50,l2,0.9,0.9,7,7,80,1,5,0.33770813,0.66229187,1.061791357,0.506313556
50,l1,0.7,0.7,7,7,80,0.1,5,0.337787699,0.662212301,1.060119571,0.5
100,l1,0.7,0.7,9,9,112,1,5,0.337823802,0.662176198,1.059963252,0.513925627
100,l2,0.5,0.5,9,9,112,1,5,0.337823961,0.662176039,1.060508542,0.506313556
50,l1,0.5,0.5,5,5,48,10,5,0.337829787,0.662170213,1.060880798,0.507590696
50,l2,0.5,0.5,5,5,48,1,5,0.337838567,0.662161433,1.060880798,0.506313556
50,l2,0.5,0.5,5,5,48,10,5,0.337881822,0.662118178,1.060880798,0.506254776
50,l2,0.5,0.5,5,5,48,0.1,5,0.338232898,0.661767102,1.060880798,0.50672502
50,l1,0.5,0.5,3,3,16,1,5,0.338460326,0.661539674,1.061790339,0.513925627
100,l1,0.9,0.9,5,5,48,0.1,5,0.338475338,0.661524662,1.059888743,0.5
100,l2,0.7,0.7,9,9,112,10,5,0.338529345,0.661470655,1.059963252,0.506254776
100,l2,0.7,0.7,9,9,112,1,5,0.338535529,0.661464471,1.059963252,0.506313556
100,l1,0.7,0.7,9,9,112,10,5,0.338545421,0.661454579,1.059963252,0.507590696
50,l2,0.5,0.5,9,9,112,10,5,0.338648615,0.661351385,1.060011446,0.506254776
50,l1,0.5,0.5,9,9,112,10,5,0.338660101,0.661339899,1.060011446,0.507590696
50,l1,0.9,0.9,5,5,48,1,5,0.338691126,0.661308874,1.060040947,0.513925627
100,l1,0.7,0.7,7,7,80,0.1,5,0.33875061,0.66124939,1.059968054,0.5
50,l1,0.9,0.9,9,9,112,1,5,0.338937499,0.661062501,1.058782042,0.513925627
50,l2,0.5,0.5,9,9,112,1,5,0.338943631,0.661056369,1.060011446,0.506313556
100,l2,0.7,0.7,9,9,112,0.1,5,0.339003892,0.660996108,1.059963252,0.50672502
100,l2,0.5,0.5,9,9,112,0.1,5,0.339179721,0.660820279,1.060508542,0.50672502
50,l2,0.5,0.5,9,9,112,0.1,5,0.339297314,0.660702686,1.060011446,0.50672502
50,l1,0.9,0.9,5,5,48,10,5,0.339424079,0.660575921,1.060040947,0.507590696
50,l2,0.9,0.9,5,5,48,1,5,0.339449145,0.660550855,1.060040947,0.506313556
50,l2,0.9,0.9,5,5,48,10,5,0.339490228,0.660509772,1.060040947,0.506254776
50,l1,0.9,0.9,9,9,112,10,5,0.33950889,0.66049111,1.058782042,0.507590696
50,l2,0.9,0.9,5,5,48,0.1,5,0.339533513,0.660466487,1.060040947,0.50672502
50,l2,0.9,0.9,9,9,112,10,5,0.339551679,0.660448321,1.058782042,0.506254776
50,l2,0.5,0.5,3,3,16,1,5,0.339616532,0.660383468,1.061790339,0.506313556
50,l2,0.9,0.9,9,9,112,1,5,0.339628953,0.660371047,1.058782042,0.506313556
50,l2,0.5,0.5,3,3,16,0.1,5,0.339863988,0.660136012,1.061790339,0.50672502
100,l2,0.5,0.5,3,3,16,0.1,5,0.339891892,0.660108108,1.064485755,0.50672502
100,l2,0.9,0.9,3,3,16,0.1,5,0.340029384,0.659970616,1.059013192,0.50672502
50,l1,0.9,0.9,3,3,16,0.1,5,0.34018198,0.65981802,1.058088395,0.5
50,l1,0.7,0.7,9,9,112,1,5,0.340207622,0.659792378,1.059722849,0.513925627
50,l2,0.9,0.9,9,9,112,0.1,5,0.340241566,0.659758434,1.058782042,0.50672502
50,l1,0.9,0.9,3,3,16,1,5,0.340333842,0.659666158,1.058088395,0.513925627
50,l2,0.5,0.5,3,3,16,10,5,0.340559173,0.659440827,1.061790339,0.506254776
50,l1,0.5,0.5,3,3,16,10,5,0.340571099,0.659428901,1.061790339,0.507590696
50,l1,0.7,0.7,9,9,112,10,5,0.340729529,0.659270471,1.059722849,0.507590696
50,l2,0.7,0.7,9,9,112,10,5,0.340792371,0.659207629,1.059722849,0.506254776
50,l1,0.7,0.7,5,5,48,0.1,5,0.340794532,0.659205468,1.06095441,0.5
50,l2,0.7,0.7,9,9,112,1,5,0.340833549,0.659166451,1.059722849,0.506313556
50,l2,0.7,0.7,3,3,16,10,5,0.341005025,0.658994975,1.063983029,0.506254776
50,l1,0.7,0.7,3,3,16,10,5,0.341036675,0.658963325,1.063983029,0.507590696
50,l2,0.9,0.9,3,3,16,10,5,0.341254455,0.658745545,1.058088395,0.506254776
50,l1,0.9,0.9,3,3,16,10,5,0.341277416,0.658722584,1.058088395,0.507590696
50,l1,0.9,0.9,7,7,80,0.1,5,0.341361912,0.658638088,1.061791357,0.5
50,l1,0.7,0.7,9,9,112,0.1,5,0.341407995,0.658592005,1.059722849,0.5
50,l2,0.7,0.7,3,3,16,1,5,0.341458987,0.658541013,1.063983029,0.506313556
100,l1,0.9,0.9,9,9,112,0.1,5,0.341474896,0.658525104,1.058644564,0.5
50,l2,0.9,0.9,3,3,16,1,5,0.341658969,0.658341031,1.058088395,0.506313556
100,l1,0.7,0.7,3,3,16,1,5,0.341724454,0.658275546,1.063726436,0.513925627
50,l1,0.7,0.7,3,3,16,1,5,0.341737837,0.658262163,1.063983029,0.513925627
50,l2,0.7,0.7,9,9,112,0.1,5,0.341792905,0.658207095,1.059722849,0.50672502
100,l2,0.7,0.7,3,3,16,1,5,0.342063839,0.657936161,1.063726436,0.506313556
100,l1,0.7,0.7,3,3,16,10,5,0.3421574,0.6578426,1.063726436,0.507590696
100,l2,0.7,0.7,3,3,16,10,5,0.342218735,0.657781265,1.063726436,0.506254776
50,l1,0.5,0.5,5,5,48,0.1,5,0.342259368,0.657740632,1.060880798,0.5
50,l2,0.7,0.7,3,3,16,0.1,5,0.342346379,0.657653621,1.063983029,0.50672502
50,l1,0.9,0.9,5,5,48,0.1,5,0.342891041,0.657108959,1.060040947,0.5
100,l2,0.7,0.7,3,3,16,0.1,5,0.343012724,0.656987276,1.063726436,0.50672502
100,l1,0.7,0.7,9,9,112,0.1,5,0.343701273,0.656298727,1.059963252,0.5
50,l1,0.5,0.5,9,9,112,0.1,5,0.344423903,0.655576097,1.060011446,0.5
50,l1,0.5,0.5,3,3,16,0.1,5,0.344932809,0.655067191,1.061790339,0.5
100,l1,0.9,0.9,3,3,16,0.1,5,0.345430302,0.654569698,1.059013192,0.5
