max_depth_LGB,min_child_samples_LGB,num_leaves_LGB,num_iterations_LGB,learning_rate_LGB,penalty_逻辑回归,subsample_LGB,colsample_bytree_LGB,reg_lambda_LGB,max_bin_LGB,reg_alpha_LGB,C_逻辑回归,degree,mse,r2,mse_y,auc_t
9,64,64,100,0.2,l1,0.7,0.7,7,112,1,10,10,0.103642716,0.896357284,1.082879343,0.507590696
9,64,64,200,0.1,l2,0.9,0.9,5,80,0.01,0.1,10,0.103723818,0.896276182,1.103146595,0.50672502
7,32,32,200,0.1,l2,0.7,0.7,1,16,0.01,0.1,10,0.103737829,0.896262171,1.079546846,0.50672502
9,64,64,100,0.2,l2,0.5,0.5,7,112,1,10,10,0.10374409,0.89625591,1.08345861,0.506254776
9,64,64,100,0.2,l2,0.7,0.7,7,112,1,10,10,0.103767867,0.896232133,1.082879343,0.506254776
7,32,32,100,0.2,l1,0.7,0.7,1,16,0.1,1,10,0.103786419,0.896213581,1.079228148,0.513925627
7,32,32,200,0.1,l2,0.5,0.5,1,16,0.1,1,10,0.103889112,0.896110888,1.075434624,0.506313556
7,32,32,200,0.1,l1,0.9,0.9,3,48,1,10,10,0.103931297,0.896068703,1.077473392,0.507590696
7,32,32,200,0.1,l2,0.9,0.9,3,48,1,10,10,0.104034826,0.895965174,1.077473392,0.506254776
9,64,64,100,0.2,l2,0.9,0.9,3,48,0.01,0.1,10,0.104049455,0.895950545,1.108417155,0.50672502
9,64,64,100,0.2,l1,0.9,0.9,1,16,1,10,10,0.104152643,0.895847357,1.098977301,0.507590696
9,64,64,100,0.2,l1,0.9,0.9,9,144,0.1,1,10,0.104181616,0.895818384,1.09366998,0.513925627
7,32,32,100,0.2,l1,0.7,0.7,3,48,0.01,0.1,10,0.104183963,0.895816037,1.075123992,0.5
9,64,64,100,0.2,l2,0.9,0.9,1,16,1,10,10,0.104203073,0.895796927,1.098977301,0.506254776
9,64,64,100,0.2,l1,0.7,0.7,5,80,0.01,0.1,10,0.104468135,0.895531865,1.099082006,0.5
7,32,32,100,0.2,l1,0.7,0.7,5,80,0.1,1,10,0.10448974,0.89551026,1.072603237,0.513925627
7,32,32,100,0.2,l2,0.7,0.7,1,16,0.1,1,10,0.10467967,0.89532033,1.079228148,0.506313556
7,32,32,100,0.2,l1,0.7,0.7,7,112,0.1,1,10,0.10469332,0.895306684,1.070909311,0.513925627
9,64,64,100,0.2,l1,0.9,0.9,1,16,0.01,0.1,10,0.104705051,0.895294949,1.093710816,0.5
7,32,32,100,0.2,l1,0.9,0.9,5,80,0.01,0.1,10,0.10475602,0.89524398,1.081914343,0.5
7,32,32,100,0.2,l1,0.7,0.7,3,48,1,10,10,0.104809789,0.895190211,1.073978477,0.507590696
9,64,64,200,0.1,l1,0.7,0.7,3,48,0.01,0.1,10,0.10485586,0.89514414,1.097357851,0.5
7,32,32,200,0.1,l2,0.5,0.5,3,48,0.01,0.1,10,0.104866204,0.895133796,1.085379449,0.50672502
9,64,64,200,0.1,l2,0.5,0.5,1,16,0.01,0.1,10,0.104902972,0.895097028,1.081917053,0.50672502
7,32,32,100,0.2,l2,0.7,0.7,3,48,1,10,10,0.104913211,0.895086789,1.073978477,0.506254776
9,64,64,100,0.2,l2,0.9,0.9,9,144,0.1,1,10,0.104930102,0.895069898,1.09366998,0.506313556
9,64,64,100,0.2,l2,0.9,0.9,1,16,0.01,0.1,10,0.105007456,0.894992544,1.093710816,0.50672502
9,64,64,100,0.2,l1,0.5,0.5,1,16,0.01,0.1,10,0.105021523,0.894978477,1.087703284,0.5
7,32,32,100,0.2,l1,0.5,0.5,3,48,1,10,10,0.105079094,0.894920906,1.084822763,0.507590696
9,64,64,100,0.2,l1,0.9,0.9,5,80,0.1,1,10,0.105151875,0.894848125,1.10225627,0.513925627
7,32,32,100,0.2,l2,0.5,0.5,3,48,1,10,10,0.105170782,0.894829218,1.084822763,0.506254776
9,64,64,200,0.1,l1,0.9,0.9,9,144,1,10,10,0.105194406,0.894805594,1.098672089,0.507590696
9,64,64,200,0.1,l2,0.9,0.9,9,144,1,10,10,0.105277424,0.894722576,1.098672089,0.506254776
7,32,32,100,0.2,l2,0.7,0.7,5,80,0.1,1,10,0.105394202,0.894605798,1.072603237,0.506313556
7,32,32,200,0.1,l2,0.7,0.7,3,48,0.01,0.1,10,0.105434443,0.894565557,1.081428543,0.50672502
7,32,32,200,0.1,l1,0.9,0.9,7,112,1,10,10,0.105477456,0.894522544,1.073409107,0.507590696
9,64,64,200,0.1,l1,0.9,0.9,1,16,0.1,1,10,0.105527209,0.894472791,1.097204893,0.513925627
7,32,32,200,0.1,l2,0.9,0.9,7,112,1,10,10,0.105569329,0.894430671,1.073409107,0.506254776
7,32,32,100,0.2,l2,0.5,0.5,5,80,0.01,0.1,10,0.105575943,0.894424057,1.08206081,0.50672502
9,64,64,200,0.1,l2,0.7,0.7,9,144,0.01,0.1,10,0.105589935,0.894410065,1.083041542,0.50672502
9,64,64,100,0.2,l1,0.7,0.7,3,48,0.1,1,10,0.105593138,0.894406862,1.103882297,0.513925627
7,32,32,100,0.2,l1,0.7,0.7,9,144,0.1,1,10,0.105697507,0.894302493,1.071231955,0.513925627
7,32,32,100,0.2,l1,0.9,0.9,3,48,0.01,0.1,10,0.105709368,0.894290632,1.081150435,0.5
9,64,64,200,0.1,l1,0.9,0.9,9,144,0.1,1,10,0.105716038,0.894283962,1.097901633,0.513925627
9,64,64,200,0.1,l1,0.9,0.9,3,48,0.1,1,10,0.105718172,0.894281828,1.109401125,0.513925627
7,32,32,100,0.2,l1,0.5,0.5,5,80,1,10,10,0.105813257,0.894186743,1.085419387,0.507590696
7,32,32,100,0.2,l2,0.7,0.7,7,112,0.1,1,10,0.10588144,0.89411856,1.070909311,0.506313556
7,32,32,100,0.2,l2,0.5,0.5,5,80,1,10,10,0.10589698,0.89410302,1.085419387,0.506254776
7,32,32,100,0.2,l1,0.7,0.7,3,48,0.1,1,10,0.10593952,0.89406048,1.077876691,0.513925627
9,64,64,200,0.1,l1,0.7,0.7,1,16,1,10,10,0.106023669,0.893976331,1.08882093,0.507590696
9,64,64,200,0.1,l2,0.7,0.7,1,16,1,10,10,0.10609751,0.89390249,1.08882093,0.506254776
9,64,64,200,0.1,l1,0.5,0.5,5,80,1,10,10,0.106274277,0.893725723,1.095462776,0.507590696
7,32,32,100,0.2,l2,0.7,0.7,7,112,0.01,0.1,10,0.10630026,0.89369974,1.073095879,0.50672502
9,64,64,200,0.1,l1,0.5,0.5,9,144,0.1,1,10,0.106322721,0.893677279,1.087775595,0.513925627
