eps_lasso,n_alphas_lasso,n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2
0.0001,450,100,32,0.7,0.7,3,3,5,0.325834802,0.674165198
0.0001,450,100,48,0.9,0.9,9,9,5,0.326090449,0.673909551
0.0001,450,100,32,0.9,0.9,9,9,5,0.326090449,0.673909551
0.0001,450,100,64,0.9,0.9,9,9,5,0.326090449,0.673909551
0.0001,450,100,16,0.9,0.9,9,9,5,0.326090449,0.673909551
0.01,350,50,48,0.7,0.7,3,3,5,0.326393492,0.673606508
0.01,350,50,16,0.7,0.7,3,3,5,0.326393492,0.673606508
0.01,350,50,64,0.7,0.7,3,3,5,0.326393492,0.673606508
0.01,350,50,32,0.7,0.7,3,3,5,0.326393492,0.673606508
0.0001,450,50,48,0.9,0.9,7,7,5,0.326457883,0.673542117
0.0001,450,50,64,0.9,0.9,7,7,5,0.326457883,0.673542117
0.0001,450,50,16,0.9,0.9,7,7,5,0.326457883,0.673542117
0.0001,450,50,32,0.9,0.9,7,7,5,0.326457883,0.673542117
0.0001,450,50,48,0.7,0.7,3,3,5,0.326823144,0.673176856
0.0001,450,50,64,0.7,0.7,3,3,5,0.326823144,0.673176856
0.0001,450,50,32,0.7,0.7,3,3,5,0.326823144,0.673176856
0.0001,450,50,16,0.7,0.7,3,3,5,0.326823144,0.673176856
0.0001,450,50,64,0.9,0.9,5,5,5,0.326863538,0.673136462
0.0001,450,50,32,0.9,0.9,5,5,5,0.326863538,0.673136462
0.0001,450,50,16,0.9,0.9,5,5,5,0.326863538,0.673136462
0.0001,450,50,48,0.9,0.9,5,5,5,0.326863538,0.673136462
0.01,350,100,64,0.9,0.9,7,7,5,0.326915854,0.673084146
0.01,350,100,32,0.9,0.9,7,7,5,0.326915854,0.673084146
0.01,350,100,48,0.9,0.9,7,7,5,0.326915854,0.673084146
0.01,350,100,16,0.9,0.9,7,7,5,0.326915854,0.673084146
0.0001,450,50,32,0.7,0.7,5,5,5,0.327092184,0.672907816
0.0001,450,50,64,0.7,0.7,5,5,5,0.327092184,0.672907816
0.0001,450,50,16,0.7,0.7,5,5,5,0.327092184,0.672907816
0.0001,450,50,48,0.7,0.7,5,5,5,0.327092184,0.672907816
0.0001,450,100,16,0.9,0.9,5,5,5,0.327097466,0.672902534
0.0001,450,100,32,0.9,0.9,5,5,5,0.327097466,0.672902534
0.0001,450,100,64,0.9,0.9,5,5,5,0.327097466,0.672902534
0.0001,450,100,48,0.9,0.9,5,5,5,0.327097466,0.672902534
0.0001,450,100,16,0.9,0.9,7,7,5,0.3271588,0.6728412
0.0001,450,100,48,0.9,0.9,7,7,5,0.3271588,0.6728412
0.0001,450,100,32,0.9,0.9,7,7,5,0.3271588,0.6728412
0.0001,450,100,64,0.9,0.9,7,7,5,0.3271588,0.6728412
0.01,350,100,64,0.9,0.9,5,5,5,0.327477897,0.672522103
0.01,350,100,16,0.9,0.9,5,5,5,0.327477897,0.672522103
0.01,350,100,32,0.9,0.9,5,5,5,0.327477897,0.672522103
0.01,350,100,48,0.9,0.9,5,5,5,0.327477897,0.672522103
0.0001,450,50,64,0.9,0.9,3,3,5,0.32758366,0.67241634
0.0001,450,50,16,0.9,0.9,3,3,5,0.32758366,0.67241634
0.0001,450,50,48,0.9,0.9,3,3,5,0.32758366,0.67241634
0.0001,450,50,32,0.9,0.9,3,3,5,0.32758366,0.67241634
0.01,350,50,32,0.9,0.9,7,7,5,0.327921176,0.672078824
0.01,350,50,16,0.9,0.9,7,7,5,0.327921176,0.672078824
0.01,350,50,64,0.9,0.9,7,7,5,0.327921176,0.672078824
0.01,350,50,48,0.9,0.9,7,7,5,0.327921176,0.672078824
0.01,350,50,64,0.9,0.9,5,5,5,0.329039138,0.670960862
0.01,350,50,16,0.9,0.9,5,5,5,0.329039138,0.670960862
0.01,350,50,48,0.9,0.9,5,5,5,0.329039138,0.670960862
